source,target,weight
WAS,ABI3,0.9276849788780112
MYCT1,EMCN,0.9159481077792606
EMILIN1,AEBP1,0.9286130063477602
HEG1,SHE,0.9207978828145902
SAMSN1,CD53,0.9373378769726476
PDGFRB,COL1A1,0.9147094943368088
TNFAIP8L2,SASH3,0.9040102204018154
COL6A1,COL6A3,0.9156214478952523
FBXL7,FERMT2,0.9315852371901112
SIGLEC10,LAPTM5,0.9002841946848419
FSTL1,DKK3,0.9123618858345822
TNS1,KANK2,0.9006152245151436
PDCD1LG2,LILRB4,0.9059528520710336
ANGPTL2,ANTXR1,0.9151809157399232
MYO1F,SLAMF8,0.900803077851394
HLA-DMA,HLA-DRA,0.9078865671721236
BCL6B,CXorf36,0.9155153871985724
HLA-DMB,HLA-DPB1,0.9234858655753272
WAS,STX11,0.901627847042052
FRMD6,C1S,0.9117842516817464
EVC,TSHZ3,0.9096230808406256
GPC6,SDC2,0.9001552155028846
MRC2,EVC,0.9286942549482176
ARHGAP30,LCP1,0.9031607735115637
GUCY1A3,GPC6,0.9113888115205196
CTHRC1,SPARC,0.9000312801119836
PDGFRB,COL12A1,0.9096168445636452
APBB1IP,CD180,0.9004609081081726
OLFML1,SERPINF1,0.9007510353663924
ELTD1,CYYR1,0.9211541128940148
BCL6B,PCDH12,0.9309459822829244
GIMAP8,GIMAP7,0.9250650805174128
CYTH4,C3AR1,0.9122705809715942
EVI2A,MS4A6A,0.9181871028169868
NCKAP1L,ITGAL,0.9035954993875348
PTPRC,PPP1R16B,0.9038967624843576
SGCD,GUCY1A3,0.9018947808692686
TIGIT,SIRPG,0.9071871394663716
BNC2,AEBP1,0.909016638697798
FMNL1,CD53,0.9007936889668324
CD163,MS4A4A,0.9362407167383022
COL3A1,PDGFRB,0.9428538225399632
EVC,PDGFRB,0.9354356499941996
CLEC1A,S1PR1,0.9153212217073275
HAVCR2,CD53,0.9297219680592718
P2RY10,ITK,0.916562154287936
HAVCR2,CD300A,0.9207791380318964
CYBB,CSF1R,0.9327894465104322
CYTH4,LSP1,0.9197126048287466
SGCD,BNC2,0.9100635768364068
ANTXR1,FBN1,0.94545972819379
MPEG1,CD209,0.9028832110179564
WAS,LAIR1,0.9100623550364684
MRC2,ZNF469,0.9086149329959954
FNDC1,COL1A2,0.9137539321081274
CALD1,TSPYL5,0.9143767761047056
MS4A6A,HAVCR2,0.9039942025004968
ANTXR1,TCF4,0.908290431152482
COL5A1,SCARF2,0.906844345871224
CYTH4,CD300A,0.9082335047202998
IKZF1,MYO1G,0.9091854576750138
SASH3,TRAF3IP3,0.9398183493461592
FSTL1,COL8A1,0.9175114633774808
SDC2,DKK3,0.905229852667362
COL5A2,PXDN,0.9074558231670694
EFEMP2,FBXL7,0.913235814766611
THY1,BGN,0.9298523174472818
C1QB,SIGLEC7,0.917830679720702
C1S,FSTL1,0.9251583105434232
